object,split,label,image,mask
candle,train,normal,candle/Data/Images/Normal/0836.JPG,
candle,train,normal,candle/Data/Images/Normal/0451.JPG,
candle,train,normal,candle/Data/Images/Normal/0516.JPG,
candle,train,normal,candle/Data/Images/Normal/0977.JPG,
candle,train,normal,candle/Data/Images/Normal/0249.JPG,
candle,train,normal,candle/Data/Images/Normal/0548.JPG,
candle,train,normal,candle/Data/Images/Normal/0362.JPG,
candle,train,normal,candle/Data/Images/Normal/0074.JPG,
candle,train,normal,candle/Data/Images/Normal/0650.JPG,
candle,train,normal,candle/Data/Images/Normal/0898.JPG,
candle,train,normal,candle/Data/Images/Normal/0397.JPG,
candle,train,normal,candle/Data/Images/Normal/0090.JPG,
candle,train,normal,candle/Data/Images/Normal/0202.JPG,
candle,train,normal,candle/Data/Images/Normal/0414.JPG,
candle,train,normal,candle/Data/Images/Normal/0655.JPG,
candle,train,normal,candle/Data/Images/Normal/0101.JPG,
candle,train,normal,candle/Data/Images/Normal/0636.JPG,
candle,train,normal,candle/Data/Images/Normal/0965.JPG,
candle,train,normal,candle/Data/Images/Normal/0141.JPG,
candle,train,normal,candle/Data/Images/Normal/0083.JPG,
candle,train,normal,candle/Data/Images/Normal/0889.JPG,
candle,train,normal,candle/Data/Images/Normal/0121.JPG,
candle,train,normal,candle/Data/Images/Normal/0371.JPG,
candle,train,normal,candle/Data/Images/Normal/0635.JPG,
candle,train,normal,candle/Data/Images/Normal/0368.JPG,
candle,train,normal,candle/Data/Images/Normal/0673.JPG,
candle,train,normal,candle/Data/Images/Normal/0146.JPG,
candle,train,normal,candle/Data/Images/Normal/0378.JPG,
candle,train,normal,candle/Data/Images/Normal/0642.JPG,
candle,train,normal,candle/Data/Images/Normal/0733.JPG,
candle,train,normal,candle/Data/Images/Normal/0826.JPG,
candle,train,normal,candle/Data/Images/Normal/0745.JPG,
candle,train,normal,candle/Data/Images/Normal/0154.JPG,
candle,train,normal,candle/Data/Images/Normal/0393.JPG,
candle,train,normal,candle/Data/Images/Normal/0018.JPG,
candle,train,normal,candle/Data/Images/Normal/0067.JPG,
candle,train,normal,candle/Data/Images/Normal/0591.JPG,
candle,train,normal,candle/Data/Images/Normal/0001.JPG,
candle,train,normal,candle/Data/Images/Normal/0845.JPG,
candle,train,normal,candle/Data/Images/Normal/0647.JPG,
candle,train,normal,candle/Data/Images/Normal/0532.JPG,
candle,train,normal,candle/Data/Images/Normal/0820.JPG,
candle,train,normal,candle/Data/Images/Normal/0134.JPG,
candle,train,normal,candle/Data/Images/Normal/0565.JPG,
candle,train,normal,candle/Data/Images/Normal/0874.JPG,
candle,train,normal,candle/Data/Images/Normal/0450.JPG,
candle,train,normal,candle/Data/Images/Normal/0649.JPG,
candle,train,normal,candle/Data/Images/Normal/0007.JPG,
candle,train,normal,candle/Data/Images/Normal/0347.JPG,
candle,train,normal,candle/Data/Images/Normal/0793.JPG,
candle,train,normal,candle/Data/Images/Normal/0130.JPG,
candle,train,normal,candle/Data/Images/Normal/0366.JPG,
candle,train,normal,candle/Data/Images/Normal/0454.JPG,
candle,train,normal,candle/Data/Images/Normal/0091.JPG,
candle,train,normal,candle/Data/Images/Normal/0255.JPG,
candle,train,normal,candle/Data/Images/Normal/0194.JPG,
candle,train,normal,candle/Data/Images/Normal/0553.JPG,
candle,train,normal,candle/Data/Images/Normal/0917.JPG,
candle,train,normal,candle/Data/Images/Normal/0847.JPG,
candle,train,normal,candle/Data/Images/Normal/0459.JPG,
candle,train,normal,candle/Data/Images/Normal/0277.JPG,
candle,train,normal,candle/Data/Images/Normal/0491.JPG,
candle,train,normal,candle/Data/Images/Normal/0894.JPG,
candle,train,normal,candle/Data/Images/Normal/0104.JPG,
candle,train,normal,candle/Data/Images/Normal/0683.JPG,
candle,train,normal,candle/Data/Images/Normal/0868.JPG,
candle,train,normal,candle/Data/Images/Normal/0042.JPG,
candle,train,normal,candle/Data/Images/Normal/0539.JPG,
candle,train,normal,candle/Data/Images/Normal/0882.JPG,
candle,train,normal,candle/Data/Images/Normal/0602.JPG,
candle,train,normal,candle/Data/Images/Normal/0257.JPG,
candle,train,normal,candle/Data/Images/Normal/0186.JPG,
candle,train,normal,candle/Data/Images/Normal/0203.JPG,
candle,train,normal,candle/Data/Images/Normal/0455.JPG,
candle,train,normal,candle/Data/Images/Normal/0376.JPG,
candle,train,normal,candle/Data/Images/Normal/0643.JPG,
candle,train,normal,candle/Data/Images/Normal/0879.JPG,
candle,train,normal,candle/Data/Images/Normal/0787.JPG,
candle,train,normal,candle/Data/Images/Normal/0599.JPG,
candle,train,normal,candle/Data/Images/Normal/0205.JPG,
candle,train,normal,candle/Data/Images/Normal/0527.JPG,
candle,train,normal,candle/Data/Images/Normal/0775.JPG,
candle,train,normal,candle/Data/Images/Normal/0477.JPG,
candle,train,normal,candle/Data/Images/Normal/0446.JPG,
candle,train,normal,candle/Data/Images/Normal/0521.JPG,
candle,train,normal,candle/Data/Images/Normal/0489.JPG,
candle,train,normal,candle/Data/Images/Normal/0984.JPG,
candle,train,normal,candle/Data/Images/Normal/0108.JPG,
candle,train,normal,candle/Data/Images/Normal/0498.JPG,
candle,train,normal,candle/Data/Images/Normal/0352.JPG,
candle,train,normal,candle/Data/Images/Normal/0522.JPG,
candle,train,normal,candle/Data/Images/Normal/0510.JPG,
candle,train,normal,candle/Data/Images/Normal/0937.JPG,
candle,train,normal,candle/Data/Images/Normal/0515.JPG,
candle,train,normal,candle/Data/Images/Normal/0319.JPG,
candle,train,normal,candle/Data/Images/Normal/0335.JPG,
candle,train,normal,candle/Data/Images/Normal/0463.JPG,
candle,train,normal,candle/Data/Images/Normal/0712.JPG,
candle,train,normal,candle/Data/Images/Normal/0234.JPG,
candle,train,normal,candle/Data/Images/Normal/0575.JPG,
candle,train,normal,candle/Data/Images/Normal/0147.JPG,
candle,train,normal,candle/Data/Images/Normal/0821.JPG,
candle,train,normal,candle/Data/Images/Normal/0714.JPG,
candle,train,normal,candle/Data/Images/Normal/0508.JPG,
candle,train,normal,candle/Data/Images/Normal/0971.JPG,
candle,train,normal,candle/Data/Images/Normal/0093.JPG,
candle,train,normal,candle/Data/Images/Normal/0098.JPG,
candle,train,normal,candle/Data/Images/Normal/0903.JPG,
candle,train,normal,candle/Data/Images/Normal/0888.JPG,
candle,train,normal,candle/Data/Images/Normal/0616.JPG,
candle,train,normal,candle/Data/Images/Normal/0563.JPG,
candle,train,normal,candle/Data/Images/Normal/0567.JPG,
candle,train,normal,candle/Data/Images/Normal/0005.JPG,
candle,train,normal,candle/Data/Images/Normal/0719.JPG,
candle,train,normal,candle/Data/Images/Normal/0231.JPG,
candle,train,normal,candle/Data/Images/Normal/0556.JPG,
candle,train,normal,candle/Data/Images/Normal/0950.JPG,
candle,train,normal,candle/Data/Images/Normal/0932.JPG,
candle,train,normal,candle/Data/Images/Normal/0554.JPG,
candle,train,normal,candle/Data/Images/Normal/0512.JPG,
candle,train,normal,candle/Data/Images/Normal/0050.JPG,
candle,train,normal,candle/Data/Images/Normal/0345.JPG,
candle,train,normal,candle/Data/Images/Normal/0769.JPG,
candle,train,normal,candle/Data/Images/Normal/0230.JPG,
candle,train,normal,candle/Data/Images/Normal/0692.JPG,
candle,train,normal,candle/Data/Images/Normal/0165.JPG,
candle,train,normal,candle/Data/Images/Normal/0502.JPG,
candle,train,normal,candle/Data/Images/Normal/0614.JPG,
candle,train,normal,candle/Data/Images/Normal/0605.JPG,
candle,train,normal,candle/Data/Images/Normal/0072.JPG,
candle,train,normal,candle/Data/Images/Normal/0780.JPG,
candle,train,normal,candle/Data/Images/Normal/0980.JPG,
candle,train,normal,candle/Data/Images/Normal/0313.JPG,
candle,train,normal,candle/Data/Images/Normal/0582.JPG,
candle,train,normal,candle/Data/Images/Normal/0731.JPG,
candle,train,normal,candle/Data/Images/Normal/0593.JPG,
candle,train,normal,candle/Data/Images/Normal/0374.JPG,
candle,train,normal,candle/Data/Images/Normal/0626.JPG,
candle,train,normal,candle/Data/Images/Normal/0432.JPG,
candle,train,normal,candle/Data/Images/Normal/0851.JPG,
candle,train,normal,candle/Data/Images/Normal/0589.JPG,
candle,train,normal,candle/Data/Images/Normal/0264.JPG,
candle,train,normal,candle/Data/Images/Normal/0290.JPG,
candle,train,normal,candle/Data/Images/Normal/0893.JPG,
candle,train,normal,candle/Data/Images/Normal/0853.JPG,
candle,train,normal,candle/Data/Images/Normal/0327.JPG,
candle,train,normal,candle/Data/Images/Normal/0885.JPG,
candle,train,normal,candle/Data/Images/Normal/0406.JPG,
candle,train,normal,candle/Data/Images/Normal/0737.JPG,
candle,train,normal,candle/Data/Images/Normal/0404.JPG,
candle,train,normal,candle/Data/Images/Normal/0190.JPG,
candle,train,normal,candle/Data/Images/Normal/0727.JPG,
candle,train,normal,candle/Data/Images/Normal/0671.JPG,
candle,train,normal,candle/Data/Images/Normal/0348.JPG,
candle,train,normal,candle/Data/Images/Normal/0594.JPG,
candle,train,normal,candle/Data/Images/Normal/0496.JPG,
candle,train,normal,candle/Data/Images/Normal/0341.JPG,
candle,train,normal,candle/Data/Images/Normal/0247.JPG,
candle,train,normal,candle/Data/Images/Normal/0929.JPG,
candle,train,normal,candle/Data/Images/Normal/0550.JPG,
candle,train,normal,candle/Data/Images/Normal/0832.JPG,
candle,train,normal,candle/Data/Images/Normal/0021.JPG,
candle,train,normal,candle/Data/Images/Normal/0604.JPG,
candle,train,normal,candle/Data/Images/Normal/0875.JPG,
candle,train,normal,candle/Data/Images/Normal/0653.JPG,
candle,train,normal,candle/Data/Images/Normal/0117.JPG,
candle,train,normal,candle/Data/Images/Normal/0492.JPG,
candle,train,normal,candle/Data/Images/Normal/0138.JPG,
candle,train,normal,candle/Data/Images/Normal/0781.JPG,
candle,train,normal,candle/Data/Images/Normal/0772.JPG,
candle,train,normal,candle/Data/Images/Normal/0928.JPG,
candle,train,normal,candle/Data/Images/Normal/0350.JPG,
candle,train,normal,candle/Data/Images/Normal/0774.JPG,
candle,train,normal,candle/Data/Images/Normal/0891.JPG,
candle,train,normal,candle/Data/Images/Normal/0979.JPG,
candle,train,normal,candle/Data/Images/Normal/0395.JPG,
candle,train,normal,candle/Data/Images/Normal/0827.JPG,
candle,train,normal,candle/Data/Images/Normal/0638.JPG,
candle,train,normal,candle/Data/Images/Normal/0145.JPG,
candle,train,normal,candle/Data/Images/Normal/0718.JPG,
candle,train,normal,candle/Data/Images/Normal/0499.JPG,
candle,train,normal,candle/Data/Images/Normal/0251.JPG,
candle,train,normal,candle/Data/Images/Normal/0407.JPG,
candle,train,normal,candle/Data/Images/Normal/0770.JPG,
candle,train,normal,candle/Data/Images/Normal/0612.JPG,
candle,train,normal,candle/Data/Images/Normal/0268.JPG,
candle,train,normal,candle/Data/Images/Normal/0253.JPG,
candle,train,normal,candle/Data/Images/Normal/0006.JPG,
candle,train,normal,candle/Data/Images/Normal/0494.JPG,
candle,train,normal,candle/Data/Images/Normal/0824.JPG,
candle,train,normal,candle/Data/Images/Normal/0543.JPG,
candle,train,normal,candle/Data/Images/Normal/0262.JPG,
candle,train,normal,candle/Data/Images/Normal/0384.JPG,
candle,train,normal,candle/Data/Images/Normal/0383.JPG,
